stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\gustavo.pneumann\source\repos\Project1\x64\Debug\allegro5.cfg r
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.13699] found 288 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.13724] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13762] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13781] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13801] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.13814] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13827] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.13838] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13850] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.13860] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13873] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.13885] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13895] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.13913] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13924] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.13936] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13948] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.13960] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.13975] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.13986] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.13998] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14040] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14052] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14064] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14077] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.14087] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14098] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.14108] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14119] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.14130] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14141] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.14151] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14163] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.14174] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14186] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.14197] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14210] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.14221] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14233] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14244] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14255] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14266] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14277] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.14288] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14299] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.14309] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14321] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.14332] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14343] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.14353] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14364] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.14376] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14387] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.14398] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14409] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.14419] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14430] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14439] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14449] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14459] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14469] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.14479] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14490] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.14501] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14514] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.14525] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14538] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.14549] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14561] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.14572] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14584] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.14595] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14606] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.14616] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14632] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14644] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14658] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14668] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14679] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.14690] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14704] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.14715] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14740] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.14753] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14765] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.14775] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14788] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.14800] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14812] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.14825] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14837] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.14848] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14858] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14868] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.14882] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.14893] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14909] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.14923] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14935] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.14945] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14968] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.14980] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.14992] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.15004] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15016] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.15027] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15043] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.15056] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15067] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.15078] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15094] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.15108] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15120] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.15131] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15143] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.15153] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15164] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.15173] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15183] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.15193] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15203] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.15213] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15228] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.15239] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15249] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.15259] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15270] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.15281] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15292] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.15302] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.15314] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.15326] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15346] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.15361] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15375] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.15386] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15401] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.15413] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15424] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.15436] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15447] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.15457] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15468] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.15481] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.15494] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.15505] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15516] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15527] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15539] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15556] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15568] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15582] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15592] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15602] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15613] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15625] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15641] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15653] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15672] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15691] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15706] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15718] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15728] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15739] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15749] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15762] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15772] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15785] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15800] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15814] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15830] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15840] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15849] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15861] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15872] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15885] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15896] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15907] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15925] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15936] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15947] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15959] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15972] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15982] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15995] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16007] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16022] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16036] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16049] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16065] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16074] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16086] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16100] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16115] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16125] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16136] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16147] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16158] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16169] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16179] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16189] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16200] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16211] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16223] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16238] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16248] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16257] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16266] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16277] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16288] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16298] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16308] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16319] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16331] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16345] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16363] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16374] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16385] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16395] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16409] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16427] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16441] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16455] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16467] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16480] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16492] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16504] Single Buffer requirement not met.
